coin,symbol,current_price,1h,24h,7d,30d,24h_volume,circulating_supply,total_supply,market_cap,is_outlier
dKargo,DKA,0.03,-0.004,-0.026000000000000002,-0.062,0.207,3448376.0,3152916667.0,5000000000,108294993.0,False
Pocket Network,POKT,0.07,0.004,0.005,0.284,1.922,1324721.0,1548744251.0,1640000000,108214046.0,False
Stargate Finance,STG,0.53,0.003,-0.006999999999999999,-0.063,0.257,48370749.0,204348516.0,1000000000,107777769.0,True
Zephyr Protocol,ZEPH,44.48,-0.004,0.537,2.511,19.414,8029154.0,2415561.0,2420000,107367054.0,True
Maple,MPL,13.55,-0.008,0.038,0.171,1.275,1428008.0,7919160.0,10000000,107298273.0,True
Cartesi,CTSI,0.14,0.002,-0.031,-0.11699999999999999,0.064,10119850.0,763942187.0,1000000000,106937602.0,False
Storj,STORJ,0.74,0.006,0.052000000000000005,0.062,0.97,51690015.0,143787439.0,425000000,106215443.0,True
Stride,STRD,1.19,0.006,0.0,-0.146,1.482,202066.0,88158090.0,88200000,104702311.0,True
Decimal,DEL,0.02,-0.003,0.006999999999999999,-0.006,-0.017,1593.0,5979852190.0,5980000000,104714310.0,False
Nervos Network,CKB,0.11,-0.001,-0.032,-0.14400000000000002,0.187,3285910.0,33340636263.0,327000000,104251540.0,False
MiL.k Alliance,MLK,0.32,0.022000000000000002,0.038,0.0,0.205,3492866.0,322081133.0,986000000,103938757.0,True
Pendle,PENDLE,1.07,0.006,0.013000000000000001,-0.017,0.382,22796340.0,96950723.0,258000000,103775651.0,True
iExec RLC,RLC,1.42,0.008,-0.034,0.026000000000000002,0.397,11867966.0,72382548.0,87000000,102662015.0,True
NuCypher,NU,0.07,-0.001,-0.037000000000000005,-0.085,0.096,2081.0,0.0,3890000000,124609282.0,False
PAAL AI,PAAL,0.16,-0.076,-0.051,0.019,1.535,6443727.0,650945444.0,1000000000,101582002.0,False
Ardor,ARDR,0.1,0.004,-0.009000000000000001,-0.07200000000000001,0.21100000000000002,10601782.0,998466231.0,998000000,101455960.0,False
Metal DAO,MTL,1.55,-0.018000000000000002,-0.025,-0.12,0.138,7567074.0,64633864.0,66599999,100266958.0,True
Function X,FX,0.15,0.004,-0.024,0.064,0.243,5101761.0,668199534.0,668000000,100038703.0,False
LUKSO [OLD],LYXE,6.41,-0.002,0.006999999999999999,-0.027999999999999997,0.235,451781.0,15575916.0,100000000,99791237.0,True
Venus,XVS,6.51,0.001,-0.102,-0.075,0.37799999999999995,28825658.0,15338520.0,29700000,99761512.0,True
Bancor Network,BNT,0.74,-0.003,-0.019,-0.099,0.335,1429388.0,135600762.0,136000000,99761631.0,True
Yield Guild Games,YGG,0.35,0.006999999999999999,-0.057999999999999996,-0.155,0.485,35411873.0,283938127.0,1000000000,99637697.0,True
SmarDex,SDEX,0.01,-0.001,0.048,0.111,0.451,2425725.0,7070807036.0,10000000000,99024076.0,False
Swell Ethereum,SWETH,2072.21,0.0,0.026000000000000002,0.017,0.22399999999999998,627812.0,47588.0,327000000,98607458.0,True
Loom Network (OLD),LOOMOLD,0.12,-0.003,-0.025,-0.09,0.17600000000000002,391440.0,833914552.0,1000000000,98133256.0,False
MVL,MVL,0.11,0.001,-0.048,-0.043,0.2,3413340.0,23902958863.0,27800000000,96900264.0,False
Numeraire,NMR,15.47,0.009000000000000001,0.018000000000000002,0.052000000000000005,0.23399999999999999,14716525.0,6262856.0,10800000,96867070.0,True
Nym,NYM,0.16,0.001,-0.002,-0.047,0.488,1142460.0,609478782.0,1000000000,96863790.0,False
RSK Infrastructure Framework,RIF,0.1,-0.005,-0.008,-0.071,-0.061,3081372.0,1000000000.0,1000000000,96678971.0,False
IQ,IQ,0.01,-0.004,-0.034,-0.051,0.132,2603395.0,17201926356.0,17200000000,96485382.0,False
Covalent,CQT,0.15,0.026000000000000002,0.051,0.19399999999999998,0.213,1037305.0,625051477.0,1000000000,96445907.0,False
Orca,ORCA,2.23,-0.001,0.05,-0.057999999999999996,1.354,626672.0,43116815.0,100000000,96213197.0,True
HarryPotterObamaSonic10Inu (ETH),BITCOIN,0.1,-0.057999999999999996,-0.006999999999999999,-0.242,-0.017,3096546.0,999798155.0,1000000000,96122091.0,False
Celsius Network,CEL,0.23,0.004,-0.040999999999999995,-0.077,0.48100000000000004,1207799.0,423415980.0,693000000,96013524.0,False
Smooth Love Potion,SLP,0.11,-0.004,-0.040999999999999995,0.023,0.599,26080392.0,41283864685.0,327000000,95815267.0,False
Tokamak Network,TON,2.24,0.019,-0.015,-0.017,0.5579999999999999,20862469.0,43366133.0,61000000,95776871.0,True
Krypton DAO,KRD,0.92,-0.013999999999999999,-0.054000000000000006,0.015,0.145,12289.0,102457125.0,10000000000,95229099.0,True
Nano,XNO,0.71,-0.013999999999999999,-0.032,-0.033,0.098,4869742.0,133248290.0,133000000,95221693.0,True
Medibloc,MED,0.01,0.005,-0.016,-0.068,0.204,2954972.0,8030122504.0,9340000000,95203413.0,False
Merit Circle,MC,0.85,-0.01,0.027000000000000003,0.155,0.8240000000000001,512287.0,111382334.0,111000000,94223232.0,True
AllianceBlock Nexera,NXRA,0.12,-0.011000000000000001,0.132,0.17600000000000002,0.66,2153613.0,791259050.0,850000000,93099291.0,False
Alchemy Pay,ACH,0.02,0.004,-0.04,-0.066,0.359,17714784.0,4943691067.0,10000000000,92350829.0,False
Tenset,10SET,0.55,-0.024,-0.08800000000000001,0.067,1.984,207584.0,167306761.0,167000000,92159113.0,True
Raydium,RAY,0.38,-0.009000000000000001,0.078,-0.086,1.117,25429912.0,242050954.0,555000000,91726336.0,True
Wrapped NXM,WNXM,41.94,0.006,0.05,0.053,0.311,2813704.0,2184877.0,2180000,91678155.0,True
Sidus,SIDUS,0.11,0.004,0.053,0.256,3.326,1768400.0,24418024645.0,29500000000,90558547.0,False
Secret,SCRT,0.34,0.001,-0.038,-0.077,0.268,3342953.0,266482066.0,283000000,90540003.0,True
VeThor,VTHO,0.11,0.003,-0.04,-0.06,0.10300000000000001,1273602.0,69568481938.0,327000000,90497989.0,False
MovieBloc,MBL,0.01,-0.001,-0.04,-0.171,0.5660000000000001,7607332.0,17168553885.0,30000000000,89746717.0,False
Civic,CVC,0.11,-0.003,-0.055,-0.129,0.258,9925124.0,802000010.0,1000000000,89714168.0,False
CoinEx,CET,0.03,0.0,-0.009000000000000001,-0.008,0.09,64532.0,2951121489.0,201000000,89017030.0,False
HXRO,HXRO,0.15,0.005,-0.024,-0.086,0.215,7376.0,610385692.0,1000000000,88915994.0,False
Verus Coin,VRSC,1.26,-0.005,-0.011000000000000001,-0.046,0.9,2186.0,69350413.0,83500000,88269185.0,True
Agoric,BLD,0.13,-0.001,-0.031,-0.105,0.392,252239.0,649159296.0,1060000000,87192654.0,False
Core,CORE,0.49,-0.006999999999999999,-0.002,-0.03,0.278,24028543.0,175369212.0,2100000000,86575679.0,True
Dogelon Mars,ELON,0.11,0.0,0.03,0.026000000000000002,-0.311,2790946.0,549649971723242.0,327000000,85962738.0,False
Radiant Capital,RDNT,0.23,0.005,-0.045,-0.134,0.049,24181754.0,367189806.0,1000000000,85623394.0,False
Nakamoto Games,NAKA,1.3,-0.003,0.005,-0.001,0.7559999999999999,9125900.0,64984278.0,180000000,84189221.0,True
Kinesis Gold,KAU,64.06,-0.002,-0.009000000000000001,0.017,0.012,1247948.0,1312843.0,327000000,84090430.0,True
Kwenta,KWENTA,187.1,-0.011000000000000001,0.079,0.616,1.9609999999999999,758480.0,448411.0,327000000,83855025.0,True
Ergo,ERG,1.17,0.002,-0.032,-0.086,0.275,496268.0,71469033.0,97700000,83793327.0,True
StormX,STMX,0.01,0.009000000000000001,-0.033,-0.125,0.17,9521915.0,11000000000.0,12500000000,83612889.0,False
Hooked Protocol,HOOK,0.87,0.003,-0.048,-0.14800000000000002,0.114,13247151.0,95833333.0,500000000,83343208.0,True
Kinesis Silver,KAG,23.72,-0.004,-0.011000000000000001,0.018000000000000002,0.024,148557.0,3487963.0,327000000,82752060.0,True
OMG Network,OMG,0.59,0.006,-0.054000000000000006,-0.13,0.22699999999999998,27170931.0,140245398.0,140000000,82660482.0,True
Hifi Finance,HIFI,0.77,0.006,-0.021,-0.005,0.522,19688790.0,107696305.0,120000000,82612117.0,True
Wilder World,WILD,0.29,-0.004,0.012,-0.026000000000000002,0.171,539086.0,278114681.0,500000000,81539807.0,False
Marlin,POND,0.01,0.003,-0.021,-0.059000000000000004,0.183,2199995.0,8087375977.0,5030000000,80977602.0,False
Dynex,DNX,1.04,-0.004,-0.109,0.319,0.172,2853573.0,77027607.0,77000000,79961900.0,True
RSS3,RSS3,0.14,-0.026000000000000002,-0.054000000000000006,0.086,0.539,6870781.0,558874999.0,1000000000,79644246.0,False
Unifi Protocol DAO,UNFI,10.56,0.001,0.149,0.193,0.644,52337575.0,7495742.0,10000000,79135548.0,True
Origin Ether,OETH,2020.46,0.003,0.017,0.008,0.205,1257265.0,39039.0,327000000,78875017.0,True
Metis,METIS,17.98,0.001,0.013999999999999999,-0.06,0.41100000000000003,3900315.0,4354321.0,5410000,78213105.0,True
Prom,PROM,4.28,-0.002,-0.018000000000000002,-0.034,0.004,1864231.0,18250000.0,19300000,78204417.0,True
Nerve Finance,NRV,0.11,-0.004,-0.011000000000000001,0.098,0.079,39765.0,0.0,141000000,60499825.0,False
Astrafer,ASTRAFER,0.49,0.001,-0.022000000000000002,-0.11,0.409,68797.0,156553961.0,888000000,77559528.0,True
Celer Network,CELR,0.01,0.006999999999999999,-0.049,-0.09,0.094,7695744.0,5645454936.0,10000000000,77268678.0,False
Gods Unchained,GODS,0.3,-0.006,0.061,0.21600000000000003,0.584,4823417.0,253472222.0,500000000,77240254.0,True
Stader ETHx,ETHX,2046.01,-0.001,0.019,0.006999999999999999,0.21,49621.0,37719.0,327000000,77159639.0,True
Stader MaticX,MATICX,0.82,0.002,-0.018000000000000002,-0.16399999999999998,0.26,244643.0,93394260.0,93400000,77043366.0,True
Hunt,HUNT,0.39,-0.003,-0.047,-0.095,0.115,5812178.0,198912688.0,199000000,76749477.0,True
MaidSafeCoin,EMAID,0.2,0.003,0.003,-0.02,0.028999999999999998,888.0,0.0,2300000,92887554.0,False
Synapse,SYN,0.4,0.006999999999999999,-0.036000000000000004,-0.036000000000000004,0.327,7423155.0,190117589.0,185000000,76120783.0,True
My Neighbor Alice,ALICE,0.93,0.016,-0.04,-0.114,0.213,27302622.0,81578571.0,100000000,75605917.0,True
Verasity,VRA,0.01,0.017,0.013000000000000001,0.004,0.474,22651246.0,10249906818.0,100000000000,75221798.0,False
Sweat Economy,SWEAT,0.01,0.003,-0.008,-0.069,0.013999999999999999,1608983.0,7687172145.0,22100000000,74825233.0,False
SuperVerse,SUPER,0.17,-0.013999999999999999,-0.092,0.366,1.1840000000000002,42911499.0,451694843.0,1000000000,74543754.0,False
QuarkChain,QKC,0.01,-0.008,-0.044000000000000004,-0.147,0.10400000000000001,1614258.0,6921608235.0,10000000000,74127522.0,False
Star Atlas DAO,POLIS,0.31,0.006,-0.064,-0.05,1.15,626176.0,236079069.0,360000000,73607245.0,True
Mainframe,MFT,0.01,0.099,0.091,-0.057,0.42200000000000004,12872.0,9386552599.0,10000000000,73083046.0,False
NKN,NKN,0.11,0.013999999999999999,0.005,0.14400000000000002,0.35700000000000004,8624439.0,650000000.0,1000000000,73062916.0,False
Metadium,META,0.04,-0.004,-0.071,-0.025,0.307,10488804.0,1703608720.0,2000000000,73026229.0,False
Cobak,CBK,0.91,0.008,-0.054000000000000006,-0.02,0.342,9034541.0,79696169.0,100000000,72249093.0,True
Shadow Token,SHDW,0.47,0.054000000000000006,0.32,0.11,5.417000000000001,955916.0,153730630.0,169000000,72120594.0,True
Dent,DENT,0.11,0.002,-0.04,-0.09300000000000001,0.152,4677015.0,95654960453.0,100000000000,72120938.0,False
Lyra Finance,LYRA,0.13,-0.006999999999999999,-0.012,0.6609999999999999,1.432,35464.0,572242621.0,1000000000,71855210.0,False
Stella,ALPHA,0.09,0.003,-0.076,-0.038,0.195,7138935.0,822000000.0,1000000000,71020572.0,False
Radworks,RAD,1.42,0.005,-0.081,-0.079,0.098,10158796.0,49829111.0,100000000,70899920.0,True
Chromia,CHR,0.12,0.006,-0.062,0.009000000000000001,0.275,17046202.0,582296409.0,582000000,70696630.0,False
Taraxa,TARA,0.02,0.002,0.08900000000000001,0.752,2.883,4156493.0,3583528038.0,10300000000,70504468.0,False
Dock,DOCK,0.02,0.0,-0.051,-0.09,0.094,755923.0,0.0,1000000000,56879327.0,False
Murasaki,MURA,1.22,0.003,-0.034,-0.141,-0.136,8572.0,57400000.0,1000000000,70258419.0,True
Aergo,AERGO,0.16,0.002,-0.037000000000000005,-0.18100000000000002,0.332,7521953.0,445000000.0,500000000,70063675.0,False
Share,SHR,0.11,0.024,0.053,-0.013999999999999999,0.345,112384.0,0.0,4400000000,53555387.0,False
DODO,DODO,0.11,0.003,-0.05,-0.086,0.129,11647109.0,614617713.0,996000000,68815272.0,False
Metars Genesis,MRS,1.09,0.01,0.011000000000000001,0.013999999999999999,0.183,46158.0,62850000.0,1000000000,68719343.0,True
ChainX,PCX,0.15,0.018000000000000002,-0.027999999999999997,-0.122,0.531,407526.0,0.0,21000000,58095511.0,False
Arkham,ARKM,0.4,0.0,-0.027999999999999997,-0.267,0.22399999999999998,18489905.0,170500000.0,1000000000,68394588.0,True
Vega Protocol,VEGA,1.16,0.003,-0.016,-0.053,-0.141,321225.0,58810795.0,65000000,68231130.0,True
e-Radix,EXRD,0.06,0.021,0.076,0.32299999999999995,0.38299999999999995,651247.0,1225232895.0,1230000000,67994491.0,False
Badger,BADGER,3.41,0.006,-0.054000000000000006,-0.077,0.514,15598609.0,19930670.0,21000000,67965872.0,True
Syscoin,SYS,0.09,-0.001,-0.052000000000000005,-0.055,0.128,2138273.0,721496588.0,741000000,67857593.0,False
Gelato,GEL,0.3,0.013999999999999999,0.114,0.086,0.389,187881.0,226693876.0,421000000,67801847.0,True
Ultra,UOS,0.19,0.002,-0.022000000000000002,0.003,0.287,1150346.0,355228744.0,1000000000,67526312.0,False
Phala,PHA,0.11,0.008,-0.019,0.02,0.11,15106779.0,627836135.0,1000000000,66969927.0,False
Veno Finance,VNO,0.16,0.006,0.026000000000000002,0.017,0.33899999999999997,90748.0,408775490.0,1830000000,66692358.0,False
SPACE ID,ID,0.23,-0.001,-0.052000000000000005,-0.20600000000000002,0.292,17569006.0,286000000.0,2000000000,66689039.0,False
Dusk,DUSK,0.16,0.006,-0.011000000000000001,-0.145,0.366,9051677.0,427614409.0,500000000,66466298.0,False
GameFi.org,GAFI,6.08,-0.008,-0.054000000000000006,0.02,1.8430000000000002,284755.0,10945063.0,15000000,66358686.0,True
CyberConnect,CYBER,6.01,0.009000000000000001,-0.021,-0.21899999999999997,0.381,30470713.0,11038000.0,100000000,66338906.0,True
Open Exchange Token,OX,0.01,-0.033,0.022000000000000002,-0.263,-0.142,636515.0,5475687806.0,5480000000,66140615.0,False
Maverick Protocol,MAV,0.26,0.001,-0.039,-0.158,0.179,14246413.0,250000000.0,2000000000,65691376.0,False
Bifrost,BFC,0.05,-0.006,-0.018000000000000002,0.035,-0.222,1636487.0,1384675071.0,2370000000,65435353.0,False
World Mobile Token,WMT,0.13,-0.006999999999999999,-0.026000000000000002,-0.063,-0.013999999999999999,1595380.0,495061974.0,2000000000,65029496.0,False
Access Protocol,ACS,0.11,0.006999999999999999,-0.034,-0.048,-0.03,482793.0,30558805084.0,86900000000,64869956.0,False
Koinos,KOIN,1.9,-0.125,0.496,2.229,3.665,5872850.0,33786925.0,34000000,64582133.0,True
Adventure Gold,AGLD,0.83,0.006999999999999999,0.033,0.016,0.019,39560499.0,77280001.0,77300000,64496633.0,True
HELLO,HELLO,0.12,-0.001,-0.026000000000000002,-0.004,0.8540000000000001,6289984.0,531305095.0,1000000000,64082642.0,False
WINkLink,WIN,0.11,0.002,-0.02,-0.07,0.024,8266915.0,961737300000.0,999000000000,63957496.0,False
Steem Dollars,SBD,5.04,-0.009000000000000001,0.006999999999999999,-0.009000000000000001,0.568,29698640.0,12612175.0,327000000,63528541.0,True
Oasys,OAS,0.06,0.021,0.027999999999999997,0.054000000000000006,0.478,1089221.0,1063518671.0,10000000000,63194324.0,False
SX Network,SX,0.18,-0.001,-0.004,-0.038,-0.059000000000000004,79747.0,355189001.0,1000000000,62877986.0,False
Marblex,MBX,0.62,-0.005,-0.036000000000000004,-0.087,0.049,1763665.0,100151658.0,323000000,62548111.0,True
Shardus,ULT,0.14,0.003,0.015,0.011000000000000001,-0.048,3885.0,439556760.0,1000000000,62413317.0,False
